date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2025-01-16,300658,5.1,5.16,5.21,5.09,46388,24174979.0,2.36,1.38,0.07,2.06
2025-01-17,300658,5.15,5.12,5.15,5.05,34800,17975820.0,1.94,-0.78,-0.04,1.54
2025-01-20,300658,5.12,5.26,5.3,5.07,49226,26019439.0,4.49,2.73,0.14,2.18
2025-01-21,300658,5.31,5.19,5.35,5.13,44914,23667223.0,4.18,-1.33,-0.07,1.99
2025-01-22,300658,5.23,5.13,5.23,5.06,28676,14892097.0,3.28,-1.16,-0.06,1.27
2025-01-23,300658,5.21,5.16,5.29,5.15,35183,18597626.0,2.73,0.58,0.03,1.56
2025-01-24,300658,5.19,5.34,5.35,5.15,65086,34531487.0,3.88,3.49,0.18,2.89
2025-01-27,300658,5.34,5.36,5.5,5.34,49788,27257423.0,3.0,0.37,0.02,2.21
2025-02-05,300658,5.39,5.44,5.6,5.39,58052,32178893.0,3.92,1.49,0.08,2.58
2025-02-06,300658,5.48,5.52,5.53,5.37,38675,21361582.0,2.94,1.47,0.08,1.72
2025-02-07,300658,5.52,5.51,5.61,5.45,48760,27341532.0,2.9,-0.18,-0.01,2.16
2025-02-10,300658,5.54,5.62,5.63,5.51,37584,21209726.0,2.18,2.0,0.11,1.67
2025-02-11,300658,5.63,5.62,5.73,5.56,40716,23157321.0,3.02,0.0,0.0,1.81
2025-02-12,300658,5.63,5.61,5.65,5.55,31889,18028994.0,1.78,-0.18,-0.01,1.41
2025-02-13,300658,5.65,5.51,5.66,5.49,43375,24360898.0,3.03,-1.78,-0.1,1.92
2025-02-14,300658,5.51,5.54,5.57,5.49,36591,20484497.0,1.45,0.54,0.03,1.62
2025-02-17,300658,5.54,5.61,5.66,5.51,47087,26631069.0,2.71,1.26,0.07,2.09
2025-02-18,300658,5.59,5.45,5.64,5.42,44272,24687014.0,3.92,-2.85,-0.16,1.96
2025-02-19,300658,5.43,5.51,5.56,5.41,31985,17820886.0,2.75,1.1,0.06,1.42
2025-02-20,300658,5.54,5.61,5.62,5.52,35935,20278707.0,1.81,1.81,0.1,1.59
2025-02-21,300658,5.63,5.55,5.64,5.5,34751,19468340.0,2.5,-1.07,-0.06,1.54
2025-02-24,300658,5.58,5.66,5.68,5.51,50501,28677148.0,3.06,1.98,0.11,2.24
2025-02-25,300658,5.62,5.59,5.67,5.54,45105,25516017.0,2.3,-1.24,-0.07,2.0
2025-02-26,300658,5.59,5.64,5.68,5.59,47735,27230994.0,1.61,0.89,0.05,2.12
2025-02-27,300658,5.68,5.66,5.75,5.55,46794,26647324.0,3.55,0.35,0.02,2.08
2025-02-28,300658,5.65,5.54,5.7,5.52,50011,28231299.0,3.18,-2.12,-0.12,2.22
2025-03-03,300658,5.55,5.63,5.7,5.55,67491,38406086.0,2.71,1.62,0.09,2.99
2025-03-04,300658,5.61,5.71,5.71,5.59,58327,33428319.0,2.13,1.42,0.08,2.59
2025-03-05,300658,5.72,5.86,5.86,5.63,117830,68372550.0,4.03,2.63,0.15,5.23
2025-03-06,300658,5.99,5.85,6.07,5.82,121972,72780712.0,4.27,-0.17,-0.01,5.41
2025-03-07,300658,5.91,5.95,6.04,5.79,108078,64329323.0,4.27,1.71,0.1,4.79
2025-03-10,300658,5.99,6.08,6.42,5.98,171281,106618898.0,7.39,2.18,0.13,7.6
2025-03-11,300658,6.06,6.29,6.31,6.02,163626,102570500.0,4.77,3.45,0.21,7.26
2025-03-12,300658,6.29,6.15,6.35,6.13,107842,67500396.0,3.5,-2.23,-0.14,4.78
2025-03-13,300658,6.13,6.17,6.19,6.02,97246,59920897.0,2.76,0.33,0.02,4.31
2025-03-14,300658,6.15,6.36,6.45,6.06,171162,108474207.0,6.32,3.08,0.19,7.59
2025-03-17,300658,6.42,6.49,6.6,6.11,311930,199441624.0,7.7,2.04,0.13,13.84
2025-03-18,300658,6.34,6.15,6.37,6.15,201542,126385591.0,3.39,-5.24,-0.34,8.94
2025-03-19,300658,6.15,6.12,6.25,6.09,129465,80455483.0,2.6,-0.49,-0.03,5.74
2025-03-20,300658,6.12,6.08,6.15,6.06,67443,41527012.0,1.47,-0.65,-0.04,2.99
2025-03-21,300658,6.06,6.02,6.11,5.97,74333,45243043.0,2.3,-0.99,-0.06,3.3
2025-03-24,300658,6.05,5.81,6.07,5.67,82892,49021380.0,6.64,-3.49,-0.21,3.68
2025-03-25,300658,5.79,5.8,5.84,5.7,58703,34257700.0,2.41,-0.17,-0.01,2.6
2025-03-26,300658,5.76,5.96,6.03,5.75,71778,43182821.0,4.83,2.76,0.16,3.18
2025-03-27,300658,5.96,6.02,6.08,5.81,91921,55582722.0,4.53,1.01,0.06,4.08
2025-03-28,300658,5.99,5.86,6.02,5.85,51515,30784076.0,2.82,-2.66,-0.16,2.29
2025-03-31,300658,5.83,5.73,5.83,5.61,70498,40657428.0,3.75,-2.22,-0.13,3.13
2025-04-01,300658,5.72,5.78,5.95,5.72,71860,42464811.0,4.01,0.87,0.05,3.19
2025-04-02,300658,5.77,5.85,6.0,5.72,67275,39756512.0,4.84,1.21,0.07,2.98
2025-04-03,300658,5.86,5.83,5.97,5.76,66853,39517269.0,3.59,-0.34,-0.02,2.97
2025-04-07,300658,5.59,4.87,5.59,4.74,126380,64615503.0,14.58,-16.47,-0.96,5.61
2025-04-08,300658,4.94,4.96,5.12,4.88,93757,47165407.0,4.93,1.85,0.09,4.16
2025-04-09,300658,4.82,5.01,5.06,4.43,106276,51210626.0,12.7,1.01,0.05,4.71
2025-04-10,300658,5.08,5.27,5.42,5.03,124439,66297671.0,7.78,5.19,0.26,5.52
2025-04-11,300658,5.25,5.2,5.34,5.18,61680,32739111.0,3.04,-1.33,-0.07,2.74
2025-04-14,300658,5.26,5.35,5.42,5.26,71806,38821673.0,3.08,2.88,0.15,3.19
2025-04-15,300658,5.33,5.46,5.55,5.29,76947,42280593.0,4.86,2.06,0.11,3.41
2025-04-16,300658,5.44,5.31,5.49,5.21,69405,37441603.0,5.13,-2.75,-0.15,3.08
2025-04-17,300658,5.27,5.4,5.45,5.26,67875,37091128.0,3.58,1.69,0.09,3.01
2025-04-18,300658,5.43,5.37,5.46,5.28,55694,30193188.0,3.33,-0.56,-0.03,2.47
2025-04-21,300658,5.32,5.6,5.63,5.3,99949,55577315.0,6.15,4.28,0.23,4.43
2025-04-22,300658,5.61,5.57,5.66,5.52,71596,40340021.0,2.5,-0.54,-0.03,3.18
